aalib 1.4rc5-19
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.40-1
nss 3.126-1
nss-mdns 0.15.1-2
ntfs-3g 2026.7.7-1
numactl 2.0.19-1
nvidia-utils 610.57.04-1
obs-studio 32.2.1-7
obsidian 1.13.6-1
ocl-icd 2.3.5-1
ollama 0.32.9-1
omarchy-keyring 20251027-1
omarchy-nvim 2026.7.17-1
omarchy-walker 1.0.0-2
onetbb 2023.1.0-1
oniguruma 6.9.10-1
onnxruntime-cpu 1.28.0-1
openal 1.25.2-2
openbsd-netcat 1.238_1-1
opencc 1.3.2-1
opencore-amr 0.1.6-2
opencv 5.0.0-9
openexr 3.4.14-1
openh264 2.6.0-2
openjade 1.3.2-10
openjpeg2 2.5.4-1
openjph 0.31.0-1
opensp 1.5.2-11
openssh 10.5p1-1
openssl 3.6.3-1
opentimelineio 0.18.1-3
openxr 1.1.60-1
opus 1.6.1-1
orc 0.4.42-1
orca-slicer 1:2.4.2-2
osinfo-db 20251212-1
ostree 2026.3-1
p11-kit 0.26.5-1
p8-platform 2.1.0.1-5
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pango 1:1.58.2-1
pangomm 2.46.5-1
parted 3.7-1
patch 2.8-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
pinta 3.1.2-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pipewire-zeroconf 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.5-1
playerctl 2.4.1-5
plocate 1.1.24-2
plymouth 26.134.222-2
polkit 127-3
polkit-gnome 0.105-12
poppler 26.07.0-1
poppler-data 0.4.12-2
poppler-glib 26.07.0-1
poppler-qt6 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql-libs 18.4-5
power-profiles-daemon 0.30-1
ppp 2.5.3-1
pps-tools 1.0.3-2
ppsspp-assets 1.20.4-4
procps-ng 4.0.7-1
protobuf 35.1-1
protobuf-c 1.5.2-12
psmisc 23.7-2
pugixml 1.16-1
pulseaudio-qt 1.8.1-1
purpose 6.28.0-1
python 3.14.7-1
python-aaf2 1.7.1-4
python-argcomplete 3.7.2-1
python-astral 3.2-5
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-beautifulsoup4 4.15.0-1
python-boolean.py 5.0-2
python-build 1.4.3-1
python-cachecontrol 1:0.14.4-3
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.4.7-1
python-click 8.3.3-1
python-colorama 0.4.6-6
python-cryptography 49.0.0-1
python-cyclonedx-lib 11.7.0-1
python-dbus 1.4.0-2
python-ddt 1.7.2-5
python-defusedxml 0.7.1-8
python-distlib 0.4.3-1
python-distro 1.9.0-4
python-docutils 1:0.23-1
python-fastjsonschema 2.21.2-2
python-filelock 3.29.3-1
python-flit 4.0.0-1
python-flit-core 4.0.2-1
python-gobject 3.56.3-1
python-idna 3.18-1
python-importlib-metadata 9.0.0-1
python-iniconfig 2.3.0-1
python-installer 1.0.0-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-lark-parser 1.3.1-2
python-license-expression 30.4.4-2
python-lxml 6.1.1-1
python-mako 1.3.12-1
python-markdown 3.10.3-1
python-markdown-it-py 4.2.0-1
python-markupsafe 3.0.3-1
python-mdurl 0.1.2-9
python-more-itertools 11.1.0-1
python-msgpack 1.1.2-2
python-packageurl 0.17.6-2
python-packaging 26.3-1
python-pillow 12.3.0-1
python-pip 26.2.1-1
python-pip-api 0.0.34-3
python-pip-requirements-parser 32.0.1-5
python-pipx 1.15.0-1
python-platformdirs 4.11.2-1
python-pluggy 1.6.0-3
python-poetry-core 2.4.1-1
python-pretend 1.0.9-14
python-py-serializable 2.1.0-2
python-pycparser 3.00-1
python-pycryptodomex 3.23.0-3
python-pycups 2.0.4-4
python-pygments 2.20.0-1
python-pyparsing 3.3.2-1
python-pyproject-hooks 1.2.0-6
python-pysocks 1.7.1-12
python-pytest 1:9.0.3-1
python-pytest-runner 6.0.1-2
python-python-discovery 1.5.1-1
python-pyxdg 0.28-7
python-referencing 0.37.0-3
python-requests 2.34.2-1
python-rich 15.0.0-1
python-rpds-py 2026.6.3-1
python-setuptools 1:84.0.0-1
python-setuptools-scm 10.2.1-1
python-shtab 1.10.0-1
python-simplejson 4.1.1-1
python-sortedcontainers 2.4.0-8
python-soupsieve 2.9.2-1
python-termcolor 3.3.0-1
python-terminaltexteffects 0.15.0-1
python-toml 0.10.2-13
python-tomli 2.4.1-1
python-tomli-w 1.2.0-2
python-tqdm 4.70.0-1
python-typing_extensions 4.16.0-1
python-urllib3 2.7.0-1
python-userpath 1.9.2-4
python-vcs-versioning 2.2.4-1
python-virtualenv 21.7.4-1
python-wheel 0.48.0-1
python-zipp 3.21.0-4
qca-qt6 2.3.10-8
qemu-common 11.1.0-1
qemu-system-x86 11.1.0-1
qemu-system-x86-firmware 11.1.0-1
qoi r350.4461cc3-1
qpdf 12.3.2-2
qqc2-desktop-style 6.28.0-1
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-svg 5.15.19+kde+r5-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-x11extras 5.15.19-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-connectivity 6.11.1-1
qt6-declarative 6.11.1-3
qt6-imageformats 6.11.1-1
qt6-multimedia 6.11.1-2
qt6-multimedia-ffmpeg 6.11.1-2
qt6-networkauth 6.11.1-1
qt6-positioning 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-5
quickshell 0.3.0-2
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
rdma-core 64.0-1
re2 2:2025.11.05-5
readline 8.3.003-1
redland 1:1.0.17-10
retroarch 1.22.2-5
retroarch-assets-glui 1:20260411.201626.gcd17f64cff4e-1
retroarch-assets-ozone 1:20260411.201626.gcd17f64cff4e-1
retroarch-assets-xmb 1:20260411.201626.gcd17f64cff4e-1
retroarch-joypad-autoconfig-git 1.22.0.r89.gf8e93ba-1
rhash 1.4.6-1
ripgrep 15.2.0-1
rnnoise 1:0.2-1
rsync 3.5.0-1
rtkit 0.14-1
rubberband 4.0.0-2
ruby 3.4.10-1
rubygems 3.6.9-1
runc 1.5.1-1
rust 1:1.97.1-1
samba 2:4.24.5-1
satty 0.21.1-1
sbc 2.2-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-7
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
sdl3_ttf 3.2.2-3
seabios 1.17.0-2
seatd 0.9.3-1
sed 4.10-2
sequoia-sqv 1.5.0-1
serd 0.32.10-1
sfml 3.1.0-2
sgml-common 0.6.3-9
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
signal-desktop 8.23.0-1
signon-kwallet-extension 26.04.3-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
signond 8.61-4
simde 0.8.2-1
simdjson 1:4.6.6-1
slang 2.3.3-4
slurp 1.5.0-2
smbclient 2:4.24.5-1
snapper 0.13.1-2
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
solid 6.28.0-1
sonnet 6.28.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli 2.44.0-3
spirv-tools 1:1.4.357.0-1
spotify-launcher 0.6.6-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.6-1
sshfs 3.7.6-1
stacher7 7.1.9-1
starship 1.26.0-1
steam 1.0.0.87-1
steam-devices 1.0.0.87-1
sudo 1.9.17.p2-6
supabase-bin 2.111.0-1
sushi 50.0-1
svt-av1 4.2.0-1
swaybg 1.2.2-1
swayosd 0.3.1-1
syncthing 2.1.3-1
syndication 6.28.0-1
system-config-printer 1.5.18-6
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1
tailscale 1.102.2-1
talloc 2.5.0-1
tar 1.35-3
tcpdump 4.99.6-1
tdb 1.4.15-1
tesseract 5.5.3-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
tevent 1:0.17.2-1
texinfo 7.3-1
thermald 2:2.5.12-1
tinysparql 3.11.1-1
tinyxml 2.6.2-13
tinyxml2 11.0.0-2
tinyxxd 1.3.16-1
tldr 3.4.4-1
tmux 3.7_b-1
tobi-try 1.8.1-2
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tss 4.2.0-2
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-liberation 2.1.5-2
ttf-nanum 2018-1
twolame 0.4.0-4
typora 1.13.6-1
tzdata 2026c-1
tzupdate 3.1.0-1
uchardet 0.0.8-4
udisks2 2.11.2-1
ufw 0.36.2-7
ufw-docker 251123-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
usage 3.5.5-1
usbmuxd 1.1.1-4
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uv 0.12.3-1
uwsm 0.26.6-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vde2 2.3.3-9
verdict 1.4.5-2
vid.stab 1.1.1-3
virtiofsd 1.14.0-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vpl-gpu-rt 26.2.4-1
vulkan-icd-loader 1.4.357.0-1
vulkan-intel 1:26.1.7-1
vulkan-mesa-implicit-layers 1:26.1.7-1
walker 2.16.2-1
wavpack 5.9.0-1
waybar 0.15.0-2
wayland 1.26.0-1
wayland-protocols 1.49-1
waylandpp 1.0.1-1
webkit2gtk-4.1 2.52.5-2
webkitgtk-6.0 2.52.5-2
webp-pixbuf-loader 0.2.7-2
webrtc-audio-processing-1 1.3-5
wechat-bin 4.1.1.8-1
which 2.25-1
whois 5.6.6-1
wike 3.2.1-1
wireless-regdb 2026.05.30-1
wiremix 0.11.0-1
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
wlsunset 0.4.0-1
woff2 1.0.2-6
woff2-font-awesome 7.3.1-1
wolfssl 5.9.2-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-terminal-exec 0.14.0-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.48-1
xmldiff 3.0-1
xmlsec 1.3.12-1
xmlstarlet 1.6.1-6
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xournalpp 1.3.7-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yaru-icon-theme 26.04.5.1ubuntu-1
yay 12.6.0-1
yoga 3.2.1-1
yt-dlp 2026.07.04-1
yt-dlp-ejs 0.8.0-1
yyjson 0.12.0-1
zellij 0.44.3-1
zen-browser-bin 1.21.9b-1
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zint 2.16.0-2
zip 3.0-13
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zstd 1.5.7-3
zxing-cpp 3.1.1-1
