aalib 1.4rc5-19
highway 1.4.0-1
hunspell 1.7.3-1
hwdata 0.410-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hypridle 0.1.8-1
hyprland 0.56.2-1
hyprland-guiutils 0.2.2-2
hyprland-preview-share-picker 0.2.1-1
hyprland-protocols 0.7.0-1
hyprlang 0.6.8-5
hyprlock 0.9.6-2
hyprmoncfg 1.8.0-1
hyprpicker 0.4.7-3
hyprsunset 0.4.0-3
hyprtoolkit 0.5.4-4
hyprutils 0.14.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
iana-etc 20260530-1
icu 78.3-1
ifuse 1.2.0-1
ijs 0.35-7
imagemagick 7.1.2.29-2
imath 3.2.2-6
imlib2 1.12.6-2
impala 0.7.4-1
imv 5.0.1-2
inetutils 2.8-1
iniparser 4.2.6-2
intel-gmmlib 22.10.0-1
intel-lpmd 0.1.0-4
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inxi 3.3.41.1-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.9-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-3
jq 1.8.2-1
js140 140.13.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.3-1
karchive 6.28.0-1
kbd 2.10.0-1
kbookmarks 6.28.0-1
kcmutils 6.28.0-1
kcodecs 6.28.0-1
kcolorscheme 6.28.0-1
kcompletion 6.28.0-1
kconfig 6.28.0-1
kconfigwidgets 6.28.0-1
kcontacts 1:6.28.0-1
kcoreaddons 6.28.0-1
kcrash 6.28.0-1
kdbusaddons 6.28.0-1
kddockwidgets 2.4.1-1
kdeclarative 6.28.0-1
kdeconnect 26.04.3-1
kdenlive 26.04.3-2
kernel-modules-hook 0.1.7-3
keyd 2.6.0-5
keyutils 1.6.3-4
kfilemetadata 6.28.0-2
kglobalaccel 6.28.0-1
kguiaddons 6.28.0-1
ki18n 6.28.0-1
